user,time,daily_usd_volume,cumulative_usd_volume,trade_count,liquidation_notional
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-11-24,56727239.16965692,2394159094.517733,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-01,65649480.17589331,2459808574.6936264,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-02,199250100.4648405,2659058675.158467,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-03,181297723.36066142,2840356398.5191283,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-04,158224362.02533132,2998580760.5444593,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-05,244390569.14923456,3242971329.693694,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-06,115193143.65899974,3358164473.3526936,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-07,49954507.470567815,3408118980.8232617,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-08,99721273.23361269,3507840254.0568743,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-09,315847528.9531959,3823687783.0100703,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-12,98794611.72932768,3922482394.739398,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-14,61352283.01239634,3983834677.7517943,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-18,207987205.17611325,4191821882.9279075,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-19,388795423.1774371,4580617306.105345,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-20,268244416.6272972,4848861722.732642,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2024-12-24,114397361.85160209,4963259084.584244,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2025-01-03,76197773.79460394,5039456858.378848,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2025-01-04,65154584.02417278,5104611442.403021,37177509.0,
0x342f5b2fd4f4a24eb212a2594ac48b13556a8e83,2025-01-07,194734651.534366,5299346093.9373865,37177509.0,
0x348e5365acfa48a26ada7da840ca611e29c950ef,2025-03-02,399900785.9876368,399900785.9876368,29350821.0,
0x348e5365acfa48a26ada7da840ca611e29c950ef,2025-03-03,332170675.670578,732071461.6582148,29350821.0,
0x348e5365acfa48a26ada7da840ca611e29c950ef,2025-03-04,351634109.40678364,1083705571.0649984,29350821.0,
0x348e5365acfa48a26ada7da840ca611e29c950ef,2025-03-07,288292689.6577705,1371998260.722769,29350821.0,
0x348e5365acfa48a26ada7da840ca611e29c950ef,2025-03-09,152571915.83363602,1524570176.556405,29350821.0,
0x34971bc50eb4484505e4a24516c8db843fbef162,2025-01-16,147923451.81890136,147923451.81890136,,
0x34971bc50eb4484505e4a24516c8db843fbef162,2025-01-18,264646247.6580106,412569699.47691196,,
0x34971bc50eb4484505e4a24516c8db843fbef162,2025-01-29,276813389.6600632,689383089.1369752,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-09,27476053.569429446,27476053.569429446,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-10,17961833.820534542,45437887.389963984,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-11,35744148.74127289,81182036.13123688,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-12,62957142.52426148,144139178.65549836,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-13,121834596.65699875,265973775.3124971,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-14,57276362.36397042,323250137.67646754,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-17,16947571.906812705,340197709.5832802,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-18,19614001.892406285,359811711.47568655,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-19,80159014.57348546,439970726.049172,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-20,25963381.96791124,465934108.0170832,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-24,34169955.05299475,500104063.07007796,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-25,27759134.960217297,527863198.03029525,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-26,53178487.55377067,581041685.5840659,,
0x3587c0e73731ea77a260f019fd4102dc8922e383,2024-08-28,56282604.378527895,637324289.9625938,,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-08-18,21957876.78572327,21957876.78572327,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-08-20,25889597.665358514,47847474.45108178,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-08-22,47231274.66623103,95078749.11731282,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-08-23,49203198.393683486,144281947.51099628,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-08-29,53701299.47630667,197983246.98730296,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-08-30,29410502.517922007,227393749.50522497,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-07,11563561.641865076,238957311.14709005,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-08,15665672.452662991,254622983.59975305,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-09,36009105.05906319,290632088.6588162,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-10,24150451.074416008,314782539.73323226,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-12,23679710.63539777,338462250.36863,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-13,27158476.300242484,365620726.6688725,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-14,17051573.445242293,382672300.11411476,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-17,27780325.14886625,410452625.26298106,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-18,41189462.4560064,451642087.71898746,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-19,48624992.67243134,500267080.39141876,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-20,44109686.66664276,544376767.0580616,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-21,15316442.793556077,559693209.8516176,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-22,21528027.76035679,581221237.6119744,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-23,43379745.207527205,624600982.8195016,15877285.0,
0x3bcae23e8c380dab4732e9a159c0456f12d866f3,2024-09-24,42173603.09580069,666774585.9153023,15877285.0,
